Station,Climate Zone,State,Latitude,Longitude,Elevation,LongDate,Year,Month,Day,Season,Tmin,Tmax,AWND,WDF5,Snow,SNWD,PRCP
ONTARIO INTL AP,10,CA,34.0561,-117.6003,289.3,2017-01-30,2017,01,30,Winter,41,75.92,2.013246,360,0,0,0
DESERT RESORTS RGNL AP,15,CA,33.6267,-116.1594,-36,2017-01-15,2017,01,15,Winter,44.06,71.06,3.802798,360,0,0,0
DESERT RESORTS RGNL AP,15,CA,33.6267,-116.1594,-36,2017-01-30,2017,01,30,Winter,42.98,78.08,3.35541,360,0,0,0
DESERT RESORTS RGNL AP,15,CA,33.6267,-116.1594,-36,2017-03-29,2017,03,29,Winter,48.92,93.02,4.026492,360,0,0,0
DESERT RESORTS RGNL AP,15,CA,33.6267,-116.1594,-36,2017-09-04,2017,09,04,Summer,77,100.04,5.144962,360,0,0,0
IMPERIAL CO AP,15,CA,32.8342,-115.5786,-17.7,2017-01-08,2017,01,08,Winter,42.98,69.08,2.23694,360,0,0,0
RIVERSIDE MUNI AP,10,CA,33.9519,-117.4386,245.4,2017-01-27,2017,01,27,Winter,46.04,59,11.408394,360,0,0,0
RIVERSIDE MUNI AP,10,CA,33.9519,-117.4386,245.4,2017-03-02,2017,03,02,Winter,39.92,78.08,6.934514,360,0,0,0
LEMOORE REEVES NAS,13,CA,36.3333,-119.95,70.7,2017-01-15,2017,01,15,Winter,35.06,48.02,3.35541,360,0,0,0
LEMOORE REEVES NAS,13,CA,36.3333,-119.95,70.7,2017-02-04,2017,02,04,Winter,39.02,64.04,3.802798,360,0,0,0
LEMOORE REEVES NAS,13,CA,36.3333,-119.95,70.7,2017-02-22,2017,02,22,Winter,39.02,57.02,12.974252,360,0,0,0
LEMOORE REEVES NAS,13,CA,36.3333,-119.95,70.7,2017-03-02,2017,03,02,Winter,32,66.02,5.816044,360,0,0,0
LEMOORE REEVES NAS,13,CA,36.3333,-119.95,70.7,2017-03-12,2017,03,12,Winter,42.98,75.92,8.276678,360,0,0,0
LEMOORE REEVES NAS,13,CA,36.3333,-119.95,70.7,2017-04-09,2017,04,09,Spring,33.08,66.92,6.934514,360,0,0,0
LEMOORE REEVES NAS,13,CA,36.3333,-119.95,70.7,2017-04-21,2017,04,21,Spring,44.96,80.06,8.724066,360,0,0,0
LEMOORE REEVES NAS,13,CA,36.3333,-119.95,70.7,2017-04-24,2017,04,24,Spring,46.94,73.94,15.211192,360,0,0,0
LEMOORE REEVES NAS,13,CA,36.3333,-119.95,70.7,2017-05-03,2017,05,03,Spring,57.02,96.98,6.263432,360,0,0,0
LEMOORE REEVES NAS,13,CA,36.3333,-119.95,70.7,2017-05-09,2017,05,09,Spring,51.98,89.06,4.921268,360,0,0,0
LEMOORE REEVES NAS,13,CA,36.3333,-119.95,70.7,2017-05-10,2017,05,10,Spring,53.06,86,5.368656,360,0,0,0
LEMOORE REEVES NAS,13,CA,36.3333,-119.95,70.7,2017-05-20,2017,05,20,Spring,51.98,95,7.605596,360,0,0,0
LEMOORE REEVES NAS,13,CA,36.3333,-119.95,70.7,2017-05-23,2017,05,23,Spring,66.02,104,8.724066,360,0,0,0
LEMOORE REEVES NAS,13,CA,36.3333,-119.95,70.7,2017-05-24,2017,05,24,Spring,60.08,95,7.605596,360,0,0,0
